batch_size,adam_lr,probits_mae,default,logits_loss,id,loss,probits_acc1,flattened_input,hidden_layers,probits_acc,probits_loss,max_epochs,dropout_p,seed,hidden_activation,output_type,hidden_dim
64,0.01,1.1359896659851074,2.519120216369629,2.3028345108032227,nmDpT,2.3028345108032227,0.6809162497520447,True,3,0.3794160485267639,,500,0.1,21,swish,ordinal_coral_weighted,64
64,0.01,1.1303435564041138,2.504171848297119,1.8273653984069824,tVczZ,1.8273653984069824,0.6725278496742249,True,3,0.41216325759887695,,500,0.1,21,swish,categorical_smoothed,16
32,0.0001,1.1366349458694458,2.550748348236084,1.5336787700653076,YUJtu,1.5336787700653076,0.6684949398040771,True,3,0.410711407661438,,500,0.5,21,swish,categorical_unsmoohted,32
32,0.01,1.282464861869812,3.2358827590942383,1.937498688697815,g9nV0,1.937498688697815,0.6228423714637756,False,3,0.393611878156662,,500,0.5,21,swish,categorical_smoothed,128
64,0.01,1.0490401983261108,2.565279006958008,2.0549659729003906,RiZlu,2.0549659729003906,0.7189869284629822,True,1,0.385384738445282,,500,0.5,21,swish,ordinal_coral_weighted,64
32,0.001,1.1080819368362427,2.4195973873138428,1.5450139045715332,ZMyLz,1.5450139045715332,0.690595269203186,True,3,0.4026455879211426,,500,0.1,21,swish,categorical_unsmoohted,256
32,0.0001,1.0208097696304321,2.4860479831695557,2.025818109512329,w4ahl,2.025818109512329,0.7264074683189392,True,3,0.4015163779258728,,500,0.5,21,swish,ordinal_coral_weighted,512
64,0.0001,1.1566381454467773,2.712362289428711,1.8495597839355469,FnCPz,1.8495597839355469,0.6659138798713684,True,1,0.40296822786331177,,500,0.1,21,swish,categorical_smoothed,256
64,0.01,1.0401678085327148,2.5389418601989746,,rRne9,0.04648317024111748,0.7196322083473206,False,2,0.39006292819976807,0.04648317024111748,500,0.5,21,swish,ordinal_vanilla,64
128,0.0001,1.1329246759414673,2.5291194915771484,1.8429445028305054,LaJJO,1.8429445028305054,0.6726891398429871,True,2,0.40877559781074524,,500,0.1,21,swish,categorical_smoothed,512
